osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/262713796,Nomyaca,village,uMlalazi Local Municipality,KwaZulu-Natal,-28.738889,31.686111,
node/262713807,Nondweni,village,Nquthu Local Municipality,KwaZulu-Natal,-28.186111,30.805833,
node/12905581187,Nongoma,town,Nongoma Local Municipality,KwaZulu-Natal,-27.910666,31.648038,
node/262707240,Noodsberg Country Club,suburb,uMshwathi Local Municipality,KwaZulu-Natal,-29.349577,30.690222,
node/10594690100,Nordale,village,Mtubatuba Local Municipality,KwaZulu-Natal,-28.399824,32.215680,
node/262713959,Northdale,neighbourhood,Msunduzi Local Municipality,KwaZulu-Natal,-29.557222,30.393889,
node/262713983,Northdene,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.866667,30.893889,
node/262714002,Northern Park,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.579722,30.369444,
node/2660167667,Norwood Park,neighbourhood,uMlalazi Local Municipality,KwaZulu-Natal,-28.892944,31.476242,
node/262714047,Nottingham Road,village,uMgeni Local Municipality,KwaZulu-Natal,-29.356111,29.994722,
node/262714053,Novunula,suburb,uMfolozi Local Municipality,KwaZulu-Natal,-28.366667,31.994444,
node/262714070,Nqoleni,suburb,uMlalazi Local Municipality,KwaZulu-Natal,-28.772222,31.652778,
node/262714082,Nqutshini,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.798611,31.830556,
node/94823679,Nqutu,town,Nquthu Local Municipality,KwaZulu-Natal,-28.216667,30.673333,
node/262714088,Nqutu Park,suburb,Mkhambathini Local Municipality,KwaZulu-Natal,-29.726389,30.531667,
node/262714093,Nseleni,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.664722,32.022222,
node/262714115,Ntambanana,suburb,Ntambanana Local Municipality,KwaZulu-Natal,-28.603889,31.741667,
node/2207841026,Ntshingimpisi,suburb,uMfolozi Local Municipality,KwaZulu-Natal,-28.739961,32.139583,
node/2084237435,Ntshondwe Camp,village,uPhongolo Local Municipality,KwaZulu-Natal,-27.544170,31.281646,
node/8455810274,Ntumbeni,village,Nkandla Local Municipality,KwaZulu-Natal,-28.635446,31.142267,
node/2182427998,Ntunjambili,village,Maphumulo Local Municipality,KwaZulu-Natal,-28.933640,30.938111,
node/3789798414,Ntuthunga,village,uMfolozi Local Municipality,KwaZulu-Natal,-28.428548,31.927717,
node/7698322509,Ntweni,village,Mtubatuba Local Municipality,KwaZulu-Natal,-28.399618,32.077715,
node/1318739331,Nyala Park,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.746096,31.904648,
node/262714239,Nyanyadu,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.977500,30.274167,
node/2207841042,Nyembe,village,uMhlathuze Local Municipality,KwaZulu-Natal,-28.934935,31.818150,
node/3606793150,Nyusana,village,Okhahlamba Local Municipality,KwaZulu-Natal,-28.689764,28.988421,
node/2207841032,Nzalabantu,suburb,uMfolozi Local Municipality,KwaZulu-Natal,-28.720213,32.167271,
node/2177869207,Nzimakwe,village,Hibiscus Coast Local Municipality,KwaZulu-Natal,-31.007298,30.230767,
node/262714244,Oak Park,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.562778,30.338056,
node/4279883644,Oaklands,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.643797,31.026885,
node/262714247,Obanjeni,suburb,uMlalazi Local Municipality,KwaZulu-Natal,-28.933889,31.685000,
node/262714260,Observation Hill,suburb,Alfred Duma Local Municipality,KwaZulu-Natal,-28.532347,29.767856,
node/262714266,Ocean View,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.910833,31.024722,
node/1348522660,Ohaleni,suburb,Nquthu Local Municipality,KwaZulu-Natal,-28.140965,30.562893,
node/9936590620,Ohlange,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.700480,30.952943,
node/1347289593,Opmerksaamheid,suburb,Alfred Duma Local Municipality,KwaZulu-Natal,-28.512960,30.036195,
node/262714358,Oribi,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.639722,30.397778,
node/262714363,Oribi Heights,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.654444,30.395278,
node/94850165,Osizweni,town,Newcastle Local Municipality,KwaZulu-Natal,-27.786944,30.129167,
node/262714383,Oslo Beach,suburb,Hibiscus Coast Local Municipality,KwaZulu-Natal,-30.763333,30.440833,
node/262714436,Overport,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.834444,31.001667,
node/262714479,Paddock,village,Ezinqoleni Local Municipality,KwaZulu-Natal,-30.754444,30.253889,
node/262715114,Padfield Park,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.793611,30.863889,
node/262714507,Palm Beach,village,Hibiscus Coast Local Municipality,KwaZulu-Natal,-30.981321,30.273582,
node/262714518,Palmiet,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.811389,30.965000,
node/1348522617,Palmietfontein,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-28.031842,30.051638,
node/4281558894,Palmview,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.673520,31.023864,
node/262714539,Panorama,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.752500,31.889444,
