osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/1618679355,Redhill Informal Settlement,village,City of Cape Town,Western Cape,-34.201006,18.408648,
node/262722008,Retreat,suburb,City of Cape Town,Western Cape,-34.054167,18.476389,
node/262722016,Richwood,suburb,City of Cape Town,Western Cape,-33.833056,18.543611,
node/262722017,Ridgeworth,suburb,City of Cape Town,Western Cape,-33.873889,18.644722,
node/262722024,Risiview,suburb,City of Cape Town,Western Cape,-34.130746,18.408140,
node/4698592568,Riverside,suburb,City of Cape Town,Western Cape,-33.796882,18.530120,
node/8065213143,Robben Island Village,village,City of Cape Town,Western Cape,-33.811406,18.379238,
node/262722029,Robinvale,suburb,City of Cape Town,Western Cape,-33.564998,18.506104,
node/262722033,Rocklands,suburb,City of Cape Town,Western Cape,-34.064000,18.609000,
node/6222710896,Rome Estate (Kleinbos),neighbourhood,City of Cape Town,Western Cape,-34.111176,18.835669,
node/262722035,Rome Glen,suburb,City of Cape Town,Western Cape,-34.089722,18.867500,
node/25685780,Rondebosch,suburb,City of Cape Town,Western Cape,-33.968056,18.487778,
node/82699663,Rondebosch East,suburb,City of Cape Town,Western Cape,-33.979167,18.498333,
node/262722036,Rontree,suburb,City of Cape Town,Western Cape,-33.966111,18.380556,
node/262722050,Roosendal,suburb,City of Cape Town,Western Cape,-33.959722,18.651389,
node/25685779,Rosebank,suburb,City of Cape Town,Western Cape,-33.951944,18.473889,
node/6232860649,Roundhay,neighbourhood,City of Cape Town,Western Cape,-34.079451,18.853115,
node/268269260,Royal Ascot,suburb,City of Cape Town,Western Cape,-33.862119,18.505952,
node/260310461,Rugby,suburb,City of Cape Town,Western Cape,-33.897614,18.487778,
node/262722066,Rustdal,suburb,City of Cape Town,Western Cape,-33.958056,18.703333,
node/262722070,Rusthof,suburb,City of Cape Town,Western Cape,-34.131279,18.847639,
node/262722078,Rylands Estate,suburb,City of Cape Town,Western Cape,-33.970833,18.529444,
node/6515180527,Sabata Dalindyebo Square (Green Point),suburb,City of Cape Town,Western Cape,-34.030626,18.677849,
node/262722199,Salt River,suburb,City of Cape Town,Western Cape,-33.931701,18.461006,Soutrivier
node/262722098,San Michele,suburb,City of Cape Town,Western Cape,-34.104722,18.390278,
node/242740951,Sanddrift,suburb,City of Cape Town,Western Cape,-33.882922,18.509659,
node/262722133,Sandvlei,suburb,City of Cape Town,Western Cape,-34.058889,18.733056,
node/262722135,Sarepta,suburb,City of Cape Town,Western Cape,-33.932778,18.666667,
node/262722141,Saxonsea,suburb,City of Cape Town,Western Cape,-33.550407,18.494766,
node/262722146,Schoongezicht,suburb,City of Cape Town,Western Cape,-33.816944,18.647500,
node/262722149,Scottsdene,suburb,City of Cape Town,Western Cape,-33.862778,18.725000,
node/262722150,Scottsville,suburb,City of Cape Town,Western Cape,-33.855556,18.705556,
node/6205734290,Sea Breeze,neighbourhood,City of Cape Town,Western Cape,-34.147370,18.869741,
node/260296502,Sea Point,suburb,City of Cape Town,Western Cape,-33.917222,18.392222,Seepunt
node/262722152,Seaforth,suburb,City of Cape Town,Western Cape,-34.196667,18.450000,
node/6205809777,Sercor Park,neighbourhood,City of Cape Town,Western Cape,-34.132275,18.858090,
node/262722168,Sherwood,suburb,City of Cape Town,Western Cape,-33.554720,18.495555,
node/262722170,Shirley Park,suburb,City of Cape Town,Western Cape,-33.905556,18.663333,
node/262722172,Sillery,suburb,City of Cape Town,Western Cape,-34.027778,18.438889,
node/262722174,Silverhurst,suburb,City of Cape Town,Western Cape,-34.017873,18.433131,
node/262722175,Silveroaks,suburb,City of Cape Town,Western Cape,-33.936944,18.690556,
node/262722176,Silversands,suburb,City of Cape Town,Western Cape,-33.979722,18.678056,
node/6222934098,Silvertas,neighbourhood,City of Cape Town,Western Cape,-34.089063,18.837407,
node/242376723,Silvertown,suburb,City of Cape Town,Western Cape,-33.963056,18.529444,
node/6515180541,Silvertown - Khayelitsha,suburb,City of Cape Town,Western Cape,-34.040963,18.684842,
node/6298777412,Silwood Heights,neighbourhood,City of Cape Town,Western Cape,-34.015964,18.717333,
node/254352976,Simon's Town,town,City of Cape Town,Western Cape,-34.193181,18.433266,Simonstad
node/262722179,Sir Lowry's Pass,village,City of Cape Town,Western Cape,-34.117680,18.910297,
node/6298683108,Sitari Country Estate,neighbourhood,City of Cape Town,Western Cape,-34.046075,18.763991,
node/6206166997,Smartie Town,neighbourhood,City of Cape Town,Western Cape,-34.058722,18.749105,
node/262722250,Soet Water,suburb,City of Cape Town,Western Cape,-34.159722,18.330556,
node/2100378892,Somerset Country Estate,suburb,City of Cape Town,Western Cape,-34.102876,18.861894,
